worker_id	segment	warmup	trial	stimulus	target	delay	correct	response	rt	addend1	addend2	addend1_s	addend2_s	calib_rt	keyboard	adjusted_rt
AC5FF0SJI0RXM	add2	False	94	17+2	19	560	True	19	2263	17	2	17	02	671.0	numbar	1592.0
AC5FF0SJI0RXM	add2	False	120	14+5	19	683	True	19	1441	14	5	14	05	671.0	numbar	770.0
AC5FF0SJI0RXM	add2	False	129	2+17	19	834	True	19	3403	2	17	02	17	671.0	numbar	2732.0
AC5FF0SJI0RXM	add2	False	137	16+3	19	621	True	19	1108	16	3	16	03	671.0	numbar	437.0
AC5FF0SJI0RXM	add2	False	39	6+13	19	557	True	19	1234	6	13	06	13	671.0	numbar	563.0
AC5FF0SJI0RXM	add2	False	132	1+1	2	789	True	2	825	1	1	01	01	711.3333333333334	numbar	113.66666666666663
AC5FF0SJI0RXM	add2	False	79	0+2	2	759	True	2	957	0	2	00	02	711.3333333333334	numbar	245.66666666666663
AC5FF0SJI0RXM	add2	False	46	2+0	2	918	True	2	843	2	0	02	00	711.3333333333334	numbar	131.66666666666663
AC5FF0SJI0RXM	add2	False	133	7+8	15	491	True	15	2871	7	8	07	08	719.0	numbar	2152.0
AC5FF0SJI0RXM	add2	False	33	10+5	15	466	True	15	1059	10	5	10	05	719.0	numbar	340.0
AC5FF0SJI0RXM	add2	False	4	1+14	15	676	True	15	1058	1	14	01	14	719.0	numbar	339.0
AC5FF0SJI0RXM	add2	False	74	2+13	15	461	True	15	1644	2	13	02	13	719.0	numbar	925.0
AC5FF0SJI0RXM	add2	False	90	12+3	15	948	True	15	1163	12	3	12	03	719.0	numbar	444.0
AC5FF0SJI0RXM	add2	False	23	5+10	15	636	True	15	1276	5	10	05	10	719.0	numbar	557.0
AC5FF0SJI0RXM	add2	False	64	3+12	15	871	True	15	1257	3	12	03	12	719.0	numbar	538.0
AC5FF0SJI0RXM	add2	False	77	11+4	15	827	True	15	1092	11	4	11	04	719.0	numbar	373.0
AC5FF0SJI0RXM	add2	False	109	8+7	15	795	True	15	2853	8	7	08	07	719.0	numbar	2134.0
AC5FF0SJI0RXM	add2	False	146	4+11	15	915	True	15	1587	4	11	04	11	719.0	numbar	868.0
AC5FF0SJI0RXM	add2	False	23	14+1	15	515	True	15	1062	14	1	14	01	719.0	numbar	343.0
AC5FF0SJI0RXM	add2	False	34	13+2	15	881	True	15	1952	13	2	13	02	719.0	numbar	1233.0
AC5FF0SJI0RXM	add2	False	43	9+6	15	677	True	15	2106	9	6	09	06	719.0	numbar	1387.0
AC5FF0SJI0RXM	add2	False	72	0+15	15	995	True	15	1477	0	15	00	15	719.0	numbar	758.0
AC5FF0SJI0RXM	add2	False	136	6+3	9	794	True	9	2315	6	3	06	03	803.0	numbar	1512.0
AC5FF0SJI0RXM	add2	False	81	0+9	9	788	True	9	807	0	9	00	09	803.0	numbar	4.0
AC5FF0SJI0RXM	add2	False	82	4+5	9	781	True	9	789	4	5	04	05	803.0	numbar	-14.0
AC5FF0SJI0RXM	add2	False	17	7+2	9	467	True	9	1604	7	2	07	02	803.0	numbar	801.0
AC5FF0SJI0RXM	add2	False	18	3+6	9	644	True	9	825	3	6	03	06	803.0	numbar	22.0
AC5FF0SJI0RXM	add2	False	32	8+1	9	546	True	9	778	8	1	08	01	803.0	numbar	-25.0
AC5FF0SJI0RXM	add2	False	67	1+8	9	759	True	9	1412	1	8	01	08	803.0	numbar	609.0
AC5FF0SJI0RXM	add2	False	76	2+7	9	415	True	9	1295	2	7	02	07	803.0	numbar	492.0
AC5FF0SJI0RXM	add2	False	128	9+0	9	974	True	9	1048	9	0	09	00	803.0	numbar	245.0
AC5FF0SJI0RXM	add2	False	45	5+4	9	778	True	9	1486	5	4	05	04	803.0	numbar	683.0
AC5FF0SJI0RXM	add2	False	140	5+0	5	712	True	5	1201	5	0	05	00	874.6666666666666	numbar	326.33333333333337
AC5FF0SJI0RXM	add2	False	21	3+2	5	589	True	5	1013	3	2	03	02	874.6666666666666	numbar	138.33333333333337
AC5FF0SJI0RXM	add2	False	5	1+4	5	521	True	5	928	1	4	01	04	874.6666666666666	numbar	53.33333333333337
AC5FF0SJI0RXM	add2	False	92	2+3	5	437	True	5	1590	2	3	02	03	874.6666666666666	numbar	715.3333333333334
AC5FF0SJI0RXM	add2	False	121	0+5	5	459	True	5	1236	0	5	00	05	874.6666666666666	numbar	361.33333333333337
AC5FF0SJI0RXM	add2	False	55	4+1	5	942	True	5	1109	4	1	04	01	874.6666666666666	numbar	234.33333333333337
AC5FF0SJI0RXM	add2	False	41	4+3	7	582	True	7	1039	4	3	04	03	884.3333333333334	numbar	154.66666666666663
AC5FF0SJI0RXM	add2	False	70	7+0	7	814	True	7	2073	7	0	07	00	884.3333333333334	numbar	1188.6666666666665
AC5FF0SJI0RXM	add2	False	24	2+5	7	776	True	7	1017	2	5	02	05	884.3333333333334	numbar	132.66666666666663
AC5FF0SJI0RXM	add2	False	75	3+4	7	915	True	7	1138	3	4	03	04	884.3333333333334	numbar	253.66666666666663
AC5FF0SJI0RXM	add2	False	87	0+7	7	735	True	7	1399	0	7	00	07	884.3333333333334	numbar	514.6666666666666
AC5FF0SJI0RXM	add2	False	9	5+2	7	709	True	7	991	5	2	05	02	884.3333333333334	numbar	106.66666666666663
AC5FF0SJI0RXM	add2	False	99	6+1	7	779	True	7	1152	6	1	06	01	884.3333333333334	numbar	267.66666666666663
AC5FF0SJI0RXM	add2	False	26	1+6	7	819	True	7	917	1	6	01	06	884.3333333333334	numbar	32.66666666666663
AC5FF0SJI0RXM	add2	False	59	3+3	6	459	True	6	1371	3	3	03	03	876.3333333333334	numbar	494.66666666666663
AC5FF0SJI0RXM	add2	False	63	2+4	6	843	True	6	1156	2	4	02	04	876.3333333333334	numbar	279.66666666666663
AC5FF0SJI0RXM	add2	False	93	5+1	6	735	True	6	982	5	1	05	01	876.3333333333334	numbar	105.66666666666663
AC5FF0SJI0RXM	add2	False	27	6+0	6	907	True	6	1075	6	0	06	00	876.3333333333334	numbar	198.66666666666663
AC5FF0SJI0RXM	add2	False	11	4+2	6	938	True	6	1070	4	2	04	02	876.3333333333334	numbar	193.66666666666663
AC5FF0SJI0RXM	add2	False	135	0+6	6	680	True	6	1027	0	6	00	06	876.3333333333334	numbar	150.66666666666663
AC5FF0SJI0RXM	add2	False	37	1+5	6	942	True	6	1127	1	5	01	05	876.3333333333334	numbar	250.66666666666663
AC5FF0SJI0RXM	add2	False	101	1+3	4	490	True	4	1706	1	3	01	03	830.0	numbar	876.0
AC5FF0SJI0RXM	add2	False	115	0+4	4	506	True	4	1141	0	4	00	04	830.0	numbar	311.0
